video_id,category,file_name,video_path,youtube_id,clip_start_s,clip_end_s,file_size_mb,frame_count,fps,duration_seconds,width,height,resolution,corrupted
VID-0015,flood,wv_TjYd5Da8_40_43.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\flood\wv_TjYd5Da8_40_43.mp4,wv,TjYd5Da8,40,0.586,75,25.0,3.0,1280,720,1280x720,False
VID-0016,wildfire,5hghT1W33cY_139_143.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\wildfire\5hghT1W33cY_139_143.mp4,5hghT1W33cY,139,143,1.833,120,29.97,4.0,1280,720,1280x720,False
VID-0017,wildfire,5hghT1W33cY_7_12.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\wildfire\5hghT1W33cY_7_12.mp4,5hghT1W33cY,7,12,2.368,150,29.97,5.0,1280,720,1280x720,False
VID-0018,wildfire,7BhDwVefhP8_12_19.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\wildfire\7BhDwVefhP8_12_19.mp4,7BhDwVefhP8,12,19,2.604,210,29.97,7.01,1280,720,1280x720,False
VID-0019,wildfire,7BhDwVefhP8_40_46.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\wildfire\7BhDwVefhP8_40_46.mp4,7BhDwVefhP8,40,46,3.024,180,29.97,6.01,1280,720,1280x720,False
VID-0020,wildfire,nFtYF63Jugc_118_124.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\wildfire\nFtYF63Jugc_118_124.mp4,nFtYF63Jugc,118,124,2.401,179,29.97,5.97,1280,720,1280x720,False
VID-0021,wildfire,nFtYF63Jugc_60_67.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\wildfire\nFtYF63Jugc_60_67.mp4,nFtYF63Jugc,60,67,4.157,209,29.97,6.97,1280,720,1280x720,False
VID-0022,wildfire,noJuE3oP2II_67_73.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\wildfire\noJuE3oP2II_67_73.mp4,noJuE3oP2II,67,73,3.748,150,25.0,6.0,1280,720,1280x720,False
VID-0023,wildfire,NY4OQwUJxlQ_35_42.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\wildfire\NY4OQwUJxlQ_35_42.mp4,NY4OQwUJxlQ,35,42,4.861,420,59.94,7.01,1280,720,1280x720,False
VID-0024,wildfire,NY4OQwUJxlQ_47_53.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\wildfire\NY4OQwUJxlQ_47_53.mp4,NY4OQwUJxlQ,47,53,1.803,359,59.94,5.99,1280,720,1280x720,False
VID-0025,wildfire,UXTqTh0SrLQ_112_117.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\wildfire\UXTqTh0SrLQ_112_117.mp4,UXTqTh0SrLQ,112,117,0.92,125,24.95,5.01,1280,720,1280x720,False
VID-0026,wildfire,UXTqTh0SrLQ_78_83.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\wildfire\UXTqTh0SrLQ_78_83.mp4,UXTqTh0SrLQ,78,83,0.531,124,24.95,4.97,1280,720,1280x720,False
VID-0027,wildfire,Ve33BcHx1L0_139_144.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\wildfire\Ve33BcHx1L0_139_144.mp4,Ve33BcHx1L0,139,144,0.949,150,29.97,5.0,1280,720,1280x720,False
VID-0028,wildfire,Ve33BcHx1L0_338_343.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\wildfire\Ve33BcHx1L0_338_343.mp4,Ve33BcHx1L0,338,343,1.69,150,29.97,5.0,1280,720,1280x720,False
VID-0029,wildfire,YYnIlah5UJ4_122_126.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\wildfire\YYnIlah5UJ4_122_126.mp4,YYnIlah5UJ4,122,126,0.692,100,25.0,4.0,1280,720,1280x720,False
VID-0030,wildfire,YYnIlah5UJ4_241_245.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\wildfire\YYnIlah5UJ4_241_245.mp4,YYnIlah5UJ4,241,245,0.742,100,25.0,4.0,1280,720,1280x720,False
VID-0031,earthquake,9HhA9IlQ3f0_2_6.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\earthquake\9HhA9IlQ3f0_2_6.mp4,9HhA9IlQ3f0,2,6,0.587,100,25.0,4.0,1280,720,1280x720,False
VID-0032,earthquake,BH8FgujV3nA_17_20.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\earthquake\BH8FgujV3nA_17_20.mp4,BH8FgujV3nA,17,20,1.077,75,25.0,3.0,1280,720,1280x720,False
VID-0033,earthquake,CSRWvYaZxhg_251_255.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\earthquake\CSRWvYaZxhg_251_255.mp4,CSRWvYaZxhg,251,255,0.562,100,25.0,4.0,1280,720,1280x720,False
VID-0034,earthquake,CTlQWTyje_w_128_131.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\earthquake\CTlQWTyje_w_128_131.mp4,CTlQWTyje,w,128,0.306,89,29.97,2.97,360,360,360x360,False
VID-0035,earthquake,Hsszc0zeOCk_138_141.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\earthquake\Hsszc0zeOCk_138_141.mp4,Hsszc0zeOCk,138,141,0.343,75,25.0,3.0,854,480,854x480,False
VID-0036,earthquake,Hsszc0zeOCk_172_174.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\earthquake\Hsszc0zeOCk_172_174.mp4,Hsszc0zeOCk,172,174,0.378,50,25.0,2.0,854,480,854x480,False
VID-0037,earthquake,IgDd3SKZgxo_560_563.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\earthquake\IgDd3SKZgxo_560_563.mp4,IgDd3SKZgxo,560,563,0.786,89,29.97,2.97,1280,720,1280x720,False
VID-0038,earthquake,McjIOGWmTTk_132_134.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\earthquake\McjIOGWmTTk_132_134.mp4,McjIOGWmTTk,132,134,0.89,59,29.97,1.97,1280,720,1280x720,False
VID-0039,earthquake,McjIOGWmTTk_143_146.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\earthquake\McjIOGWmTTk_143_146.mp4,McjIOGWmTTk,143,146,0.638,90,29.97,3.0,1280,720,1280x720,False
VID-0040,earthquake,mNRbBMxKpgE_451_454.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\earthquake\mNRbBMxKpgE_451_454.mp4,mNRbBMxKpgE,451,454,0.221,90,30.0,3.0,640,360,640x360,False
VID-0041,earthquake,mNRbBMxKpgE_463_466.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\earthquake\mNRbBMxKpgE_463_466.mp4,mNRbBMxKpgE,463,466,0.318,90,30.0,3.0,640,360,640x360,False
VID-0042,earthquake,nGV_JS9j4JE_351_357.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\earthquake\nGV_JS9j4JE_351_357.mp4,nGV,JS9j4JE,351,1.386,180,30.0,6.0,1280,720,1280x720,False
VID-0043,earthquake,nGV_JS9j4JE_362_368.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\earthquake\nGV_JS9j4JE_362_368.mp4,nGV,JS9j4JE,362,1.052,180,30.0,6.0,1280,720,1280x720,False
VID-0044,earthquake,q5nf6Wl5TVI_94_139.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\earthquake\q5nf6Wl5TVI_94_139.mp4,q5nf6Wl5TVI,94,139,10.964,1348,29.97,44.98,1280,720,1280x720,False
VID-0045,earthquake,UiNkSHTuYho_154_156.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\earthquake\UiNkSHTuYho_154_156.mp4,UiNkSHTuYho,154,156,0.179,60,30.0,2.0,640,480,640x480,False
VID-0046,landslide,4jSFEslThGE_37_47.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\landslide\4jSFEslThGE_37_47.mp4,4jSFEslThGE,37,47,4.894,300,30.0,10.0,1280,720,1280x720,False
VID-0047,landslide,_qzynb6KGiA_16_20.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\landslide\_qzynb6KGiA_16_20.mp4,,qzynb6KGiA,16,1.349,100,25.0,4.0,1280,720,1280x720,False
VID-0048,landslide,_qzynb6KGiA_27_29.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\landslide\_qzynb6KGiA_27_29.mp4,,qzynb6KGiA,27,0.474,50,25.0,2.0,1280,720,1280x720,False
VID-0049,landslide,ACSgKGxtx70_11_19.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\landslide\ACSgKGxtx70_11_19.mp4,ACSgKGxtx70,11,19,4.84,239,29.8,8.02,1280,720,1280x720,False
VID-0050,landslide,b039YSNHIOc_21_24.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\landslide\b039YSNHIOc_21_24.mp4,b039YSNHIOc,21,24,0.208,90,30.0,3.0,480,480,480x480,False
VID-0051,landslide,b039YSNHIOc_33_41.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\landslide\b039YSNHIOc_33_41.mp4,b039YSNHIOc,33,41,0.449,240,30.0,8.0,480,480,480x480,False
VID-0052,landslide,jjeCDYvGJS8_4_59.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\landslide\jjeCDYvGJS8_4_59.mp4,jjeCDYvGJS8,4,59,11.277,1375,25.0,55.0,1280,720,1280x720,False
VID-0053,landslide,mknStAMia0Q_59_61.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\landslide\mknStAMia0Q_59_61.mp4,mknStAMia0Q,59,61,0.541,59,29.97,1.97,640,480,640x480,False
VID-0054,landslide,mW9wVjGvB4Y_28_46.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\landslide\mW9wVjGvB4Y_28_46.mp4,mW9wVjGvB4Y,28,46,7.138,540,30.0,18.0,1280,720,1280x720,False
VID-0055,landslide,nITbz8t6D68_65_73.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\landslide\nITbz8t6D68_65_73.mp4,nITbz8t6D68,65,73,1.322,240,30.0,8.0,1280,720,1280x720,False
VID-0056,landslide,nITbz8t6D68_89_95.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\landslide\nITbz8t6D68_89_95.mp4,nITbz8t6D68,89,95,1.056,180,30.0,6.0,1280,720,1280x720,False
VID-0057,landslide,Sx7gpCRDizk_238_243.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\landslide\Sx7gpCRDizk_238_243.mp4,Sx7gpCRDizk,238,243,1.051,150,29.97,5.0,1280,720,1280x720,False
VID-0058,landslide,Sx7gpCRDizk_40_70.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\landslide\Sx7gpCRDizk_40_70.mp4,Sx7gpCRDizk,40,70,6.612,900,29.97,30.03,1280,720,1280x720,False
VID-0059,landslide,zPSuBziOvZM_306_309.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\landslide\zPSuBziOvZM_306_309.mp4,zPSuBziOvZM,306,309,0.647,90,29.97,3.0,1280,720,1280x720,False
VID-0060,landslide,zw32UFybrOI_23_31.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\landslide\zw32UFybrOI_23_31.mp4,zw32UFybrOI,23,31,1.52,239,29.97,7.97,1280,720,1280x720,False
VID-0061,cyclone,0on6Os_A9Oo_284_290.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\cyclone\0on6Os_A9Oo_284_290.mp4,0on6Os,A9Oo,284,0.963,179,29.97,5.97,1280,720,1280x720,False
VID-0062,cyclone,0PBhsPZtEnE_68_70.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\cyclone\0PBhsPZtEnE_68_70.mp4,0PBhsPZtEnE,68,70,0.422,60,29.97,2.0,1280,720,1280x720,False
VID-0063,cyclone,2MfGvnN4zgo_83_85.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\cyclone\2MfGvnN4zgo_83_85.mp4,2MfGvnN4zgo,83,85,0.326,60,29.97,2.0,1280,720,1280x720,False
VID-0064,cyclone,BQW07xCjz0E_142_146.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\cyclone\BQW07xCjz0E_142_146.mp4,BQW07xCjz0E,142,146,1.46,120,29.97,4.0,1280,720,1280x720,False
VID-0065,cyclone,BQW07xCjz0E_225_228.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\cyclone\BQW07xCjz0E_225_228.mp4,BQW07xCjz0E,225,228,0.946,89,29.97,2.97,1280,720,1280x720,False
VID-0066,cyclone,cYxN1yfg_AE_41_44.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\cyclone\cYxN1yfg_AE_41_44.mp4,cYxN1yfg,AE,41,1.085,90,29.97,3.0,1280,720,1280x720,False
VID-0067,cyclone,fj5kH_OZLDc_15_20.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\cyclone\fj5kH_OZLDc_15_20.mp4,fj5kH,OZLDc,15,2.116,150,30.0,5.0,1280,720,1280x720,False
VID-0068,cyclone,IwRDlZsq-7E_162_166.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\cyclone\IwRDlZsq-7E_162_166.mp4,IwRDlZsq-7E,162,166,1.245,119,29.97,3.97,1280,720,1280x720,False
VID-0069,cyclone,IwRDlZsq-7E_382_385.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\cyclone\IwRDlZsq-7E_382_385.mp4,IwRDlZsq-7E,382,385,1.064,90,29.97,3.0,1280,720,1280x720,False
VID-0070,cyclone,rbcDQuc9mao_14_21.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\cyclone\rbcDQuc9mao_14_21.mp4,rbcDQuc9mao,14,21,1.254,175,25.0,7.0,1280,720,1280x720,False
VID-0071,cyclone,wSXvcveNSTQ_118_123.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\cyclone\wSXvcveNSTQ_118_123.mp4,wSXvcveNSTQ,118,123,1.653,119,23.98,4.96,1280,720,1280x720,False
VID-0072,cyclone,wSXvcveNSTQ_24_29.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\cyclone\wSXvcveNSTQ_24_29.mp4,wSXvcveNSTQ,24,29,1.295,119,23.98,4.96,1280,720,1280x720,False
VID-0073,cyclone,WXQYrsi_jns_0_5.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\cyclone\WXQYrsi_jns_0_5.mp4,WXQYrsi,jns,0,0.628,150,29.97,5.0,854,480,854x480,False
VID-0074,cyclone,XlJBLG3STdg_27_34.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\cyclone\XlJBLG3STdg_27_34.mp4,XlJBLG3STdg,27,34,1.139,210,30.0,7.0,1280,720,1280x720,False
VID-0075,cyclone,XlJBLG3STdg_39_45.mp4,C:\Users\ujjes\OneDrive\Desktop\vlm-disaster-analyzer\datasets\video_dataset\raw_videos\cyclone\XlJBLG3STdg_39_45.mp4,XlJBLG3STdg,39,45,2.822,180,30.0,6.0,1280,720,1280x720,False
